
R1L1,6385,3664,219840,18480424,3266,216176,815595,280
R1L2,6543,3668,220080,18489668,3101,216412,825065,291
R1L3,7031,4184,251040,21100184,3287,246856,915429,331
R1L4,8528,4760,285600,23997680,3813,280840,1073150,446
R2L1,7361,4156,249360,20960656,3442,245204,930706,387
R2L2,7563,4204,252240,21195364,3815,248036,948427,383
R2L3,8286,5048,302880,25446548,3903,297832,1091753,633
R2L4,13173,7660,459600,38653720,7447,451940,1693148,561
R3L1,9145,4516,270960,22747456,3853,266444,1078972,475
R3L2,9251,4452,267120,22427892,3809,262668,1077765,452
R3L3,11169,5724,343440,28812444,4710,337716,1341989,506
R3L4,15657,8180,490800,41269220,7485,482620,1902987,702
R4L1,10262,4932,295920,24776172,4374,290988,1193318,598
R4L2,10735,5048,302880,25350248,4448,297832,1235149,494
R4L3,13238,6368,382080,31965608,6711,375712,1539958,629
R4L4,17754,8384,503040,42205124,7387,494656,2048635,638
BL1,7985,2688,161280,13713408,2663,158592,776655,327
BL2,7485,2606,156360,13270826,2683,153754,737430,317
BL3,9308,3044,182640,15536744,3083,179596,895294,395
BL4,13499,3816,228960,19608456,4316,225144,1232514,437
R1L1v,6495,3664,219840,18480424,3055,216176,822085,393
R4L4v,18020,8384,503040,42205124,8286,494656,2064329,681
